item_unique_code,item_name,Category,cost_price,sell_price,restaurant_name,restaurant_address
Bir_003,Biryani,Main Course – Non-Vegetarian,101.1,152.25,Spice Hub,"123 MG Road, Delhi"
Mas_015,Masala Dosa, Main Course – Vegetarian,30.33,50.75,South Treat,"88 Anna Nagar, Chennai"
But_004,Butter Chicken,Main Course – Non-Vegetarian,151.65,222.54,Punjabi Zaika,"45 Park Street, Kolkata"
Cho_006,Chole Bhature, Main Course – Vegetarian,60.66,91.71,Delhi Delights,"67 CP, Delhi"
Pan_018,Paneer Tikka, Main Course – Vegetarian,121.32,182.73,Veg Treats,"12 BTM Layout, Bangalore"
Idl_012,Idli Sambhar, Main Course – Vegetarian,35.385,56.33,Dosa Express,"34 Jubilee Hills, Hyderabad"
Raj_021,Rajma Chawal, Main Course – Vegetarian,70.77,101.09,Desi Tadka,"22 FC Road, Pune"
Pav_020,Pav Bhaji, Main Course – Vegetarian,45.495,70.7,Bombay Bistro,"21 Marine Drive, Mumbai"
Alo_001,Aloo Paratha, Main Course – Vegetarian,40.44,65.9,Punjabi Rasoi,"76 Sector 22, Chandigarh"
Chi_005,Chicken Curry,Main Course – Non-Vegetarian,131.43,202.8,Curry House,"11 Raja Bazar, Patna"
Veg_025,Veg Pulao, Main Course – Vegetarian,50.55,80.8,Rice Bowl,"78 Ashok Nagar, Jaipur"
Dho_008,Dhokla, Main Course – Vegetarian,30.33,50.85,Gujju Snacks,"40 CG Road, Ahmedabad"
Fis_010,Fish Curry,Main Course – Non-Vegetarian,141.54,212.1,Bengal Delight,"90 Salt Lake, Kolkata"
Mut_016,Mutton Rogan Josh,Main Course – Non-Vegetarian,181.98,272.7,Kashmiri Flavors,"33 Lal Chowk, Srinagar"
Tan_023,Tandoori Chicken,Main Course – Non-Vegetarian,161.76,242.4,Tandoor Nights,"55 MG Road, Indore"
Kat_013,Kathi Roll, Main Course – Vegetarian,50.55,75.75,Roll Nation,"89 Park Lane, Lucknow"
Sam_022,Samosa,Snack,10.11,20.2,Snack Time,"12 Market Street, Bhopal"
Vad_024,Vada Pav,Snack,15.165,25.25,Mumbai Express,"33 CST Road, Mumbai"
Dal_007,Dal Makhani, Main Course – Vegetarian,90.99,141.74,North Feast,"45 Civil Lines, Kanpur"
Bai_002,Baingan Bharta, Main Course – Vegetarian,60.66,96.05,Desi Vyanjan,"17 Gandhi Nagar, Nagpur"
Pal_017,Palak Paneer, Main Course – Vegetarian,101.1,161.6,Green Bowl,"60 Sector 14, Gurgaon"
Pan_019,Pani Puri, Main Course – Vegetarian,5.055,15.15,Chatkara,"77 Chowk Bazaar, Surat"
Egg_009,Egg Curry,Main Course – Non-Vegetarian,70.77,111.1,Anda Rasoi,"88 City Center, Ranchi"
Khe_014,Kheer, Main Course – Vegetarian,40.44,65.65,Sweet House,"101 Main Road, Varanasi"
Gul_011,Gulab Jamun,Desserts / Sweets,20.22,35.35,Mithai Mandir,"25 Bazar Road, Agra"
